text,label
"আসলে অনেক ছওয়াবের কাজ করেছেন ছবি গুলো সংগ্রহ করে, ছদকায়ে জারীয়া হয়ে সারা জীবন পাশে থাকবে",0
"বাংলাদেশে এত বেশি সাংবাদিক যে তাদের সংবাদ সংগ্রহ করার কোন ও সংবাদ জোটে না তাই ধুতি পড়া, ধুতি ভাজ করে হাফ প্যান্ট পড়ার পরিমনির সংবাদ নিয়ে ব্যাস্ত তারা।।ফেইসবুক খুললেই শুধু পরিমনি পরিমনি খুব ই বিরক্তিকর।।।",1
"বাহ! অসাধারণ  আপনার জন্য থাকছে কেয়া কসমেটিকের সৌজন্যে একটি মহা মূল্যবান ইয়াবা মেশিন, পরিবেশ বান্ধব গাঞ্জার গাছ, আপনাকে জামালপুরের ডিসি, ফেনীর সিরাজউদ্দৌলা, ওসি মোয়াজ্জেম,টেকনাফের ওসি প্রদিপ বাবু,  বরগুনার মিন্নি, টেন্ডার কিং জি কে শামীম, ক্যাসিনো খা…",1
"পরিমনির এই ধরনের অদ্ভুত আচরণ, আমি মনে করি যুবসমাজের জন্য খুবই ক্ষতিকর, 95 পার্সেন্ট মুসলিম দেশে যখন এই ধরনের বাচন ভঙ্গি দেখিয়ে জন্মদিন পালন করা হয়, তাহলে দেশ এদেশের রাষ্ট্রধর্ম ইসলাম থাকবেই না সেটাতো চেঞ্জ করবে সরকারের কিছু কতিপয় মন্ত্রী বর্গ, দেশের আইন বিচার  ব্যবস্থা খুবই খারাপ অবস্থানে বর্তমানে, শুধু মোল্লাদের ক্ষেত্রে পাগড়ী ওয়ালা দের ক্ষেত্রে বিচার ব্যবস্থা খুবই কঠিন আফসোস হায়রে বাংলাদেশ, হিন্দুত্ব বাদীদের কারণে আজ দেশ রসাতলে",1
"নডি সবসময় নডিই থাকে, তারে হাজারবার রিমান্ডে নিলেও লাভ নাই হেতি নডিই থাকবো।তবে যে  সাংবাদিকরা হেতির পিছনে ছবি তুলার জন্য ঘুরাঘুরি করে আর হেতির খবর কাভার পেজ করার লাইগা হুমড়ি খাইয়া পরে, এবার তাদের রিমান্ডে নেওয়া উচিত এবং তাদের সাংবাদিকতার মত মহান পেশা থে…",1
হায়রে বাংলাদেশের মানুষ আর দেশের সরকার,0
"এ, ও,একজন হরোয়িন।আর তুই একটা হিরোয়িন,",1
"দ্রব্যমূল্যের ঊর্ধ্বগতি লাগামহীন তা নিয়ে কোন মাথা ব্যাথা নেই, পরিমনির এই মাসে পিরিয়ড হলো কিনা তা নিয়ে সাংবাদিক ভাইয়েরা খুব ব্যস্ত হয়ে পড়েছে,",1
ছাগলের ৩ নাম্বার বাচ্চা যখন পুষ্টির অভাবে গর্ধপ গাভিতে রুপান্তরিত হয় তখন এরকম পাগলের মত বেলালাপনা করে.,1
সাংবাদিকদের প্রিয় আর জনগণের অপ্রিয় নায়িকা।।,1
চামড়া যতদিন টানটান আছে ততদিন একটু চাহিদা থাকবে।,1
খুব দুঃখের বিষয় হিরো আলম কে ইনভাইট করে নাই,0
ওর যেমন লজ্জা নাই। নানা বুড়ো হয়েছে তারও লজ্জা নাই। নানা নাতিন এর চামড়া ব্যবসা ভালো আয় হচ্ছে।,1
ও মনে এই মামলা খাইয়া টাকা পয়সা সব শেষ করে দিছে তাই কাপড় কিনতে পারে নাই। ওর নানার লুংগি পড়ে কাছা দিয়া নিছে,1
তোদের মতো বেজন্মা সাংবাদিক দের কাছে জনপ্রিয়,0
তোরে পয়দা করছে কোন হ্লায়,0
